App Start Logs,App ID,Action,Worker Type,Lead Time,Reason Description,Reason Type
2022-07-03 11:00:00,62ba3ad842a40f01bd835ca2,APP_VERIFY,Electrician,-8.901111,,
2022-07-04 11:00:00,62ba3aecfd8d4001bd1a7454,APP_CLAIM,Electrician,151.856111,,
2022-07-04 11:00:00,62ba3aecfd8d4001bd1a7454,APP_NOTE_UPDATE,Electrician,-55.397222,7/06 - Verified by Alicia 2082806 - RGA,ADMIN_EDIT_APP
2022-07-04 11:00:00,62ba3aecfd8d4001bd1a7454,APP_VERIFY,Electrician,-55.672222,,
2022-07-05 23:00:00,62ba3b26fd8d4001bd1a7580,APP_CLAIM,Electrician,187.823056,,
2022-07-05 23:00:00,62ba3b26fd8d4001bd1a7580,APP_REPORT_BAD_TIMESHEET,Electrician,-14.265833,,OTHER
2022-07-05 23:00:00,62ba3b26fd8d4001bd1a7580,APP_VERIFY,Electrician,-17.075,,
2022-07-07 11:00:00,62ba413005157c01c199a8be,APP_CLAIM,Electrician,223.729722,,
2022-07-07 11:00:00,62ba413005157c01c199a8be,APP_VERIFY,Electrician,-8.897778,,
2022-07-11 23:00:00,62ba3c0d7b9fa601c3a17fb0,APP_CLAIM,Electrician,139.25,,
2022-07-11 23:00:00,62ba3c0d7b9fa601c3a17fb0,APP_VERIFY,Electrician,-12.7775,,
2022-07-12 23:00:00,62ba3e16fd8d4001bd1aa0af,APP_CLAIM,Electrician,163.245,,
2022-07-12 23:00:00,62ba3e16fd8d4001bd1aa0af,APP_VERIFY,Electrician,-12.915278,,
2022-07-15 11:00:00,62ba3eb705157c01c1997b16,APP_CLAIM,Electrician,208.804167,,
2022-07-15 11:00:00,62ba3eb705157c01c1997b16,USER_CANCEL,Electrician,6.127222,food poisoning,SICK_OTHER_ILLNESS
2022-07-18 23:00:00,62ba3f1342a40f01bd83b55a,APP_CLAIM,Electrician,307.259722,,
2022-07-18 23:00:00,62ba3f1342a40f01bd83b55a,APP_NOTE_UPDATE,Electrician,-2.970833,7/18 ESP sent an email and stated that she started doing her app at 11 pm and not 7 pm. Please note. 2154771,ADMIN_EDIT_APP
2022-07-18 23:00:00,62ba3f1342a40f01bd83b55a,APP_VERIFY,Electrician,-15.813611,,
2022-07-20 23:00:00,62ba3f6205157c01c19989d4,APP_CLAIM,Electrician,218.944722,,
2022-07-20 23:00:00,62ba3f6205157c01c19989d4,APP_VERIFY,Electrician,-306.040556,,
2022-07-21 23:00:00,62ba3f8605157c01c1998a8b,APP_CLAIM,Electrician,242.938333,,
2022-07-21 23:00:00,62ba3f8605157c01c1998a8b,APP_VERIFY,Electrician,-17.273056,,
2022-07-23 11:00:00,62ba3fd942a40f01bd83c376,APP_CLAIM,Electrician,278.931111,,
2022-07-23 11:00:00,62ba3fd942a40f01bd83c376,USER_CANCEL,Electrician,50.285833,double booked a app,NONE
2022-07-27 23:00:00,62ba408305157c01c199924d,APP_CLAIM,Electrician,27.598889,,
